doi,title,date,tier,program,grant,acronym,call,disc,stage,stage_frac,proj_start,proj_end,proj_status,madmp,schema_ok,n_datasets,n_dist,personal,sensitive,ethics,challenging,access,url,dl
10.5281/zenodo.7726197,D1.2 Data Management Plan V1,2022-03-31,Horizon 2020,H2020,101017529,C-SCALE,H2020-INFRAEOSC-2018-2020,natural sciences,mid,0.453,2021-01-01,2023-09-30,CLOSED,False,,,,0,0,,False,public,https://zenodo.org/records/7726197,
10.5281/zenodo.6801045,"D8.6 - Data Management Plan, updated",2022-03-31,Horizon 2020,H2020,951908,eTryOn,H2020-ICT-2018-20,natural sciences,mid,0.665,2020-10-01,2022-12-31,CLOSED,False,,,,0,0,,True,public,https://zenodo.org/records/6801045,
10.5281/zenodo.6400415,Data Management Plan template,2022-03-31,Horizon 2020,H2020,115966,PREFER,H2020-JTI-IMI2-2015-05-two-stage,medical and health sciences,late,0.971,2016-10-01,2022-05-31,CLOSED,False,,,,0,0,,False,public,https://zenodo.org/records/6400415,
10.5281/zenodo.15189727,D1.6: Data management plan,2022-03-30,Horizon 2020,H2020,101003470,NextGEMS,H2020-LC-CLA-2018-2019-2020,natural sciences,early,0.144,2021-09-01,2025-08-31,CLOSED,False,,,,0,0,,True,public,https://zenodo.org/records/15189727,
10.5281/zenodo.7188120,Data Management Plan Year 2,2022-03-29,Horizon 2020,H2020,851703,MooringSense,H2020-LC-SC3-2018-2019-2020,engineering and technology,late,0.803,2019-11-01,2022-10-31,CLOSED,False,,,,0,0,,False,public,https://zenodo.org/records/7188120,
10.5281/zenodo.6380446,Constraining galaxy-halo connection with high-order statistics,2022-03-23,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/6380446,
10.5281/zenodo.13986936,D11.12 Data Management Plan,2022-03-22,Horizon 2020,H2020,101000499,BIOVALUE,H2020-SFS-2018-2020,agricultural sciences,early,0.118,2021-10-01,2025-09-30,CLOSED,False,,,,0,0,,False,public,https://zenodo.org/records/13986936,
10.5281/zenodo.6373262,D8.1.2 -  Data Management Plan revision period 1,2022-03-21,Horizon 2020,H2020,824326,DIAMOND,H2020-MG-2018-2019-2020,natural sciences,late,1.041,2018-11-01,2022-01-31,CLOSED,False,,,,0,0,,False,public,https://zenodo.org/records/6373262,
10.5281/zenodo.17128360,Communications Policy - Australian Grasslands Initiative,2022-03-16,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/17128360,
10.5281/zenodo.6352674,CŽV DMP Demo,2022-03-14,No funder metadata,,,,,,unknown,,,,,False,,,,0,0,,False,public,https://zenodo.org/records/6352674,
